Country,Year,ISO3166_alpha3,ISO3166_numeric,Region,SubRegion,OPEC,EU,OECD,biofuels_kboed,biofuels_ktoe,biogeo_mtoe,biogeo_twh,biomass_mtoe,biomass_twh,co2_mtco2,coalcons_mtoe,coalprod_mt,coalprod_mtoe,elect_twh,electbyfuel_coal,electbyfuel_gas,electbyfuel_oil,electbyfuel_other,gascons_bcfd,gascons_bcm,gascons_mtoe,gasprod_bcfd,gasprod_bcm,gasprod_mtoe,geothermal_mtoe,geothermal_twh,hydro_mtoe,hydro_twh,nuclear_mtoe,nuclear_twh,oilcons_kbd,oilcons_mt,oilcons_mtoe,oilprod_kbd,oilprod_mt,oilreserves_bbl,primary_mtoe,refcap_kbd,refthru_kbd,renewables_mtoe,renewables_twh,solar_mtoe,solar_twh,wind_mtoe,wind_twh
Algeria,1965,DZA,12,Africa,Northern Africa,1,0,0,,,0,0,0,0,5.568752776,0.07,,,,,,,,0.071891945,0.74305,0.638907997,,,,0,0,0.089,0.3933266,0,0,26.71619178,1.289,1.324613237,577.3767123,26.481,,2.122521233,54.22191781,,0,0,0,0,0,0
Algeria,1966,DZA,12,Africa,Northern Africa,1,0,0,,,0,0,0,0,6.867505979,0.068,,,,,,,,0.074685673,0.771925,0.663736028,,,,0,0,0.082,0.3623908,0,0,35.35323288,1.693,1.743138889,738.5860822,33.872,,2.556874916,54.22191781,,0,0,0,0,0,0
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,,,0,0,0,0,6.369306902,0.052,,,,,,,,0.072450691,0.748825,0.643873603,,,,0,0,0.092,0.4065848,0,0,33.2859726,1.578,1.628721506,852.0348493,39.076,,2.416595108,54.22191781,,0,0,0,0,0,0
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,,,0,0,0,0,6.77113723,0.055,,,,,,,,0.075967532,0.787325,0.676977644,,,,0,0,0.126,0.5568444,0,0,35.37442623,1.682,1.734075786,932.9136612,42.904,,2.59205343,54.22191781,,0,0,0,0,0,0
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,,,0,0,0,0,7.592118351,0.07,,,,,,,,0.100155164,1.03516875,0.89008491,,,,0,0,0.082,0.3623908,0,0,37.71432877,1.775,1.831980224,976.9061918,44.784,,2.874065133,54.22191781,,0,0,0,0,0,0
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,,,0,0,0,0,8.264424633,0.083,,,,,,,,0.094148648,0.9730875,0.836704643,0.235883804,2.4380125,2.096313414,0,0,0.132,0.5833608,0,0,43.00991781,2.032,2.093523717,1051.632,48.208,,3.145228361,57.73630137,,0,0,0,0,0,0
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,,,0,0,0,0,8.930844168,0.023,,,,,,,,0.106906675,1.10495,0.950085985,0.248641831,2.569875,2.209694755,0,0,0.074,0.3270356,0,0,48.87849315,2.288,2.359419628,809.1425753,37.099,,3.406505613,57.73630137,,0,0,0,0,0,0
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,,,0,0,0,0,9.986480526,0.02,,,,,,,,0.123795501,1.2830125,1.103192175,0.31417868,3.2561375,2.799774291,0,0,0.113,0.4993922,0,0,53.54349727,2.514,2.589975423,1089.108907,50.098,,3.826167598,116.2758904,,0,0,0,0,0,0
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,,,0,0,0,0,11.61221403,0.023,,,,,,,,0.172792104,1.78591875,1.535613715,0.418128022,4.321625,3.715928633,0,0,0.171,0.7557174,0,0,58.84926027,2.739,2.828920464,1111.105973,50.888,,4.558534179,116.2758904,,0,0,0,0,0,0
Algeria,1974,DZA,12,Africa,Northern Africa,1,0,0,,,0,0,0,0,12.97369526,0.019,,,,,,,,0.200030956,2.06745,1.777687016,0.483408144,4.9963375,4.296076956,0,0,0.113,0.4993922,0,0,65.64186301,3.036,3.142204715,1035.560658,47.355,,5.051891731,116.2758904,,0,0,0,0,0,0
Algeria,1975,DZA,12,Africa,Northern Africa,1,0,0,,,0,0,0,0,15.47522945,0.024,,,,,,,,0.275647872,2.849,2.449699054,0.595250405,6.1523,5.290025795,0,0,0.074,0.3270356,0,0,72.88090411,3.378,3.493608555,1002.65863,45.754,,6.04130761,116.2758904,,0,0,0,0,0,0
